artist,availability,colorIdentity,colors,defense,edhrecRank,edhrecSaltiness,frameVersion,keywords,layout,life,loyalty,manaCost,manaValue,name,number,otherFaceIds,power,printings,rarity,setCode,subtypes,supertypes,toughness,types
Marie Magny,"mtgo, paper",G,G,,5508.0,0.18,2015,Enchant,normal,,,{2}{G},3.0,Curse of Clinging Webs,25,,,MIC,rare,MIC,"Aura, Curse",,,Enchantment
Yigit Koroglu,"mtgo, paper",G,G,,2321.0,0.14,2015,Vigilance,normal,,,{2}{G},3.0,Heronblade Elite,26,,1,"MIC, PRM",rare,MIC,"Human, Warrior",,1,Creature
Irvin Rodriguez,"mtgo, paper",G,G,,6741.0,0.06,2015,,normal,,,{X}{G}{G},2.0,"Kurbis, Harvest Celebrant",27,,0,MIC,rare,MIC,Treefolk,Legendary,0,Creature
Johann Bodin,"mtgo, paper",G,G,,3819.0,0.09,2015,,normal,,,{3}{G},4.0,Ruinous Intrusion,28,,,MIC,rare,MIC,,,,Instant
Justyna Dura,"mtgo, paper",G,G,,7371.0,0.1,2015,,normal,,,{4}{G},5.0,Sigardian Zealot,29,,3,MIC,rare,MIC,"Human, Cleric",,3,Creature
Marta Nael,"mtgo, paper",G,G,,8410.0,0.13,2015,,normal,,,{6}{G},7.0,Somberwald Beastmaster,30,,1,"MIC, PRM",rare,MIC,"Human, Ranger",,1,Creature
Kasia 'Kafis' ZieliÅ„ska,"mtgo, paper",W,W,,4952.0,0.17,2015,Indestructible,normal,,,{5}{W}{W}{W},8.0,Avacyn's Memorial,31,,,"MIC, PRM",mythic,MIC,,Legendary,,Artifact
Alexander Mokhov,"mtgo, paper",U,U,,12271.0,0.35,2015,Flashback,normal,,,{2}{U},3.0,Visions of Duplicity,33,,,MIC,rare,MIC,,,,Sorcery
Andrew Mar,"mtgo, paper",B,B,,11149.0,0.19,2015,Flashback,normal,,,{2}{B},3.0,Visions of Dread,34,,,MIC,rare,MIC,,,,Sorcery
Irvin Rodriguez,"mtgo, paper",R,R,,5564.0,0.46,2015,Enchant,normal,,,{4}{R},5.0,Curse of Obsession,35,,,MIC,rare,MIC,"Aura, Curse",,,Enchantment
Andrew Mar,"mtgo, paper",R,R,,4305.0,0.24,2015,"Flashback, Treasure",normal,,,{3}{R},4.0,Visions of Ruin,36,,,MIC,rare,MIC,,,,Sorcery
Andrew Mar,"mtgo, paper",G,G,,4200.0,0.07,2015,Flashback,normal,,,{2}{G},3.0,Visions of Dominance,37,,,MIC,rare,MIC,,,,Sorcery
Anna Steinbauer,"mtgo, paper","B, R, U","B, R, U",,6860.0,0.17,2015,Deathtouch,normal,,,{1}{U}{B}{R},4.0,"Lynde, Cheerful Tormentor",38,,2,MIC,mythic,MIC,"Human, Warlock",Legendary,4,Creature
Sara Winters,"mtgo, paper",W,W,,4541.0,0.2,2015,,normal,,,{3}{W}{W},5.0,Victory's Envoy,96,,3,"MIC, THB",rare,MIC,"Human, Cleric",,3,Creature
Johan Grenier,"mtgo, paper",U,U,,3378.0,0.1,2015,Amass,normal,,,{4}{U},5.0,Eternal Skylord,99,,3,"MIC, SCD, WAR",uncommon,MIC,"Zombie, Wizard",,3,Creature
Adam Rex,"mtgo, paper",B,B,,4264.0,0.21,2015,,normal,,,{4}{B}{B},6.0,Gravespawn Sovereign,120,,3,"MIC, ONS, PLIST, SCD",rare,MIC,Zombie,,3,Creature
Dan Scott,"mtgo, paper",G,G,,5025.0,0.06,2015,,normal,,,{2}{G},3.0,Growth Spasm,139,,,"MIC, ROE",common,MIC,,,,Sorcery
Volkan BaÇµa,"mtgo, paper","B, U","B, U",,2178.0,0.2,2015,Amass,normal,,,{1}{U}{B},3.0,Gleaming Overseer,151,,1,"MIC, SCD, WAR",uncommon,MIC,"Zombie, Wizard",,4,Creature
Chris Rahn,"mtgo, paper","G, W","G, W",,3640.0,0.24,2015,Flying,normal,,,{3}{G}{W},5.0,"Sigarda, Heron's Grace",155,,4,"MIC, PSOI, SIR, SOI",mythic,MIC,Angel,Legendary,5,Creature
Mike Dringenberg,"mtgo, paper","G, W",,,1232.0,,2015,,normal,,,{2},2.0,Talisman of Unity,165,,,"MIC, MRD, SCD, SLD",uncommon,MIC,,,,Artifact
Brent Hollowell,arena,U,U,,,,2015,"Flash, Flying",normal,,,{2}{U},3.0,A-Falcon Abomination,A-52,,2,MID,common,MID,"Zombie, Bird",,2,Creature
Ekaterina Burmak,arena,U,U,,,,2015,,normal,,,{3}{U}{U},5.0,"A-Lier, Disciple of the Drowned",A-59,,3,MID,mythic,MID,"Human, Wizard",Legendary,4,Creature
Marta Nael,arena,U,U,,,,2015,Flying,normal,,,{2}{U},3.0,A-Patrician Geist,A-69,,2,MID,rare,MID,"Spirit, Knight",,2,Creature
Igor Kieryluk,arena,U,U,,,,2015,Flying,normal,,,{2}{U}{U},4.0,A-Phantom Carriage,A-70,,4,MID,uncommon,MID,Spirit,,4,Creature
Svetlin Velinov,arena,U,U,,,,2015,,normal,,,{1}{U},2.0,A-Shipwreck Sifters,A-74,,1,MID,common,MID,Spirit,,2,Creature
Josh Hass,arena,B,B,,,,2015,Deathtouch,normal,,,{1}{B},2.0,A-Hobbling Zombie,A-106,,2,MID,common,MID,Zombie,,2,Creature
Chris Seaman,arena,B,B,,,,2015,,normal,,,{X}{B}{B},2.0,A-The Meathook Massacre,A-112,,,MID,mythic,MID,,Legendary,,Enchantment
Raoul Vitale,arena,"U, W","U, W",,,,2015,"Disturb, Mill, Transform",transform,,,{W}{U},2.0,A-Devoted Grafkeeper // A-Departed Soulkeeper,A-218,8169d2bb-5aed-57d1-b5d8-d131c43bb771,2,MID,uncommon,MID,"Human, Peasant",,2,Creature
Andrew Robinson,"mtgo, paper",W,W,,21033.0,,1997,,normal,,,{1}{W},2.0,Alarum,2,,,MIR,common,MIR,,,,Instant
Zina Saunders,"mtgo, paper",W,W,,24622.0,,1997,,normal,,,{3}{W},4.0,Auspicious Ancestor,3,,2,MIR,rare,MIR,"Human, Cleric",,3,Creature
David A. Cherry,"mtgo, paper",W,W,,16941.0,0.11,1997,,normal,,,{1}{W},2.0,Benevolent Unicorn,4,,1,MIR,common,MIR,Unicorn,,2,Creature
Hannibal King,"mtgo, paper",W,W,,14712.0,0.11,1997,,normal,,,{2}{W},3.0,Blinding Light,5,,,"INV, MIR, POR, S99",uncommon,MIR,,,,Sorcery
Andrew Robinson,"mtgo, paper","G, U, W",W,,24561.0,,1997,,normal,,,{W},1.0,Civic Guildmage,7,,1,MIR,common,MIR,"Human, Wizard",,1,Creature
Harold McNeill,"mtgo, paper",W,W,,23592.0,,1997,,normal,,,{2}{W},3.0,Dazzling Beauty,8,,,MIR,common,MIR,,,,Instant
John Matson,"mtgo, paper",W,W,,20483.0,0.07,1997,,normal,,,{1}{W},2.0,Disempower,9,,,MIR,common,MIR,,,,Instant
Charles Gillespie,"mtgo, paper",W,W,,24525.0,0.29,1997,,normal,,,{1}{W},2.0,Divine Retribution,12,,,MIR,rare,MIR,,,,Instant
Thomas Gianni,"mtgo, paper",W,W,,14713.0,,1997,Enchant,normal,,,{1}{W},2.0,Favorable Destiny,16,,,MIR,uncommon,MIR,Aura,,,Enchantment
Tony Roberts,"mtgo, paper",W,W,,22824.0,0.07,1997,Flanking,normal,,,{2}{W},3.0,Femeref Knight,18,,2,MIR,common,MIR,"Human, Knight",,2,Creature
Zak Plucinski,"mtgo, paper",W,W,,24849.0,0.05,1997,,normal,,,{2}{W},3.0,Femeref Scouts,19,,1,MIR,common,MIR,"Human, Scout",,4,Creature
David O'Connor,"mtgo, paper",W,W,,14020.0,0.09,1997,,normal,,,{W}{W},2.0,Illumination,21,,,MIR,uncommon,MIR,,,,Instant
Gerry Grace,"mtgo, paper",W,W,,22094.0,,1997,,normal,,,{W},1.0,Ivory Charm,23,,,,,,,,,
Gerry Grace,"mtgo, paper",W,W,,20060.0,0.11,1997,,normal,,,{3}{W}{W},5.0,Jabari's Influence,24,,,MIR,rare,MIR,,,,Instant
David A. Cherry,"mtgo, paper",W,W,,24786.0,0.22,1997,,normal,,,{2}{W},3.0,Mangara's Blessing,25,,,MIR,uncommon,MIR,,,,Instant
Alan Rabinowitz,"mtgo, paper",W,W,,24369.0,0.25,1997,,normal,,,{1}{W}{W},3.0,Mangara's Equity,26,,,MIR,uncommon,MIR,,,,Enchantment
Gerry Grace,"mtgo, paper",W,W,,22727.0,0.47,1997,"Flying, Protection",normal,,,{3}{W}{W},5.0,Melesse Spirit,27,,3,MIR,uncommon,MIR,"Angel, Spirit",,3,Creature
Janine Johnston,"mtgo, paper",W,W,,16632.0,,1997,Flying,normal,,,{3}{W},4.0,Mtenda Griffin,28,,2,MIR,uncommon,MIR,Griffin,,2,Creature
Zina Saunders,"mtgo, paper",W,W,,23570.0,0.04,1997,Flanking,normal,,,{W},1.0,Mtenda Herder,29,,1,MIR,common,MIR,"Human, Scout",,1,Creature
Tony Roberts,"mtgo, paper",W,W,,19212.0,,1997,"Banding, Trample",normal,,,{3}{W},4.0,Noble Elephant,30,,2,MIR,common,MIR,Elephant,,,
Douglas Shuler,"mtgo, paper",W,W,,20968.0,0.67,1997,,normal,,,{3}{W},4.0,Null Chamber,31,,,MIR,rare,MIR,,World,,Enchantment
Pete Venters,"mtgo, paper",W,W,,24054.0,,1997,Cumulative upkeep,normal,,,{2}{W},3.0,Prismatic Circle,34,,,MIR,common,MIR,,,,Enchantment
Randy Gallegos,"mtgo, paper",W,W,,22753.0,,1997,,normal,,,{3}{W}{W},5.0,Rashida Scalebane,35,,3,MIR,rare,MIR,"Human, Soldier",Legendary,4,Creature
Mark Poole,"mtgo, paper",W,W,,21977.0,0.29,1997,Enchant,normal,,,{2}{W},3.0,Ritual of Steel,36,,,MIR,common,MIR,Aura,,,Enchantment
Gerry Grace,"mtgo, paper",W,W,,20471.0,,1997,Flanking,normal,,,{3}{W},4.0,Sidar Jabari,39,,2,"MIR, VMA",rare,MIR,"Human, Knight",Legendary,2,Creature
Ron Spencer,"mtgo, paper",W,W,,18387.0,0.17,1997,,normal,,,{X}{W}{W},2.0,Soul Echo,40,,,,,,,,,
Mike Dringenberg,"mtgo, paper",W,W,,23509.0,0.06,1997,,normal,,,{2}{W}{W},4.0,Spectral Guardian,41,,2,MIR,rare,MIR,Spirit,,3,Creature
Martin McKenna,"mtgo, paper",W,W,,17688.0,0.23,1997,"Banding, Flying",normal,,,{3}{W},4.0,Teremko Griffin,43,,2,"MIR, PLIST",common,MIR,Griffin,,,
Rebecca Guay,"mtgo, paper",W,W,,13770.0,0.18,1997,,normal,,,{W},1.0,Vigilant Martyr,45,,1,MIR,uncommon,MIR,"Human, Cleric",,1,Creature
Harold McNeill,"mtgo, paper",W,W,,16077.0,,1997,"Defender, Flying",normal,,,{1}{W},2.0,Wall of Resistance,46,,0,MIR,common,MIR,Wall,,3,Creature
Mike Dringenberg,"mtgo, paper",W,W,,14894.0,0.12,1997,Enchant,normal,,,{W}{W},2.0,Ward of Lights,47,,,,,,,,,
Ron Spencer,"mtgo, paper",W,W,,25158.0,,1997,,normal,,,{2}{W},3.0,Yare,48,,,MIR,rare,MIR,,,,Instant
John Bolton,"mtgo, paper",W,W,,23218.0,0.18,1997,Flanking,normal,,,{2}{W},3.0,Zhalfirin Knight,50,,2,"MIR, PMEI",common,MIR,"Human, Knight",,2,Creature
Alan Rabinowitz,"mtgo, paper",W,W,,16335.0,0.17,1997,Flying,normal,,,{4}{W},5.0,"Zuberi, Golden Feather",51,,3,MIR,rare,MIR,Griffin,Legendary,3,Creature
Gerry Grace,"mtgo, paper",U,U,,25119.0,,1997,Flying,normal,,,{2}{U},3.0,Azimaet Drake,53,,1,MIR,common,MIR,Drake,,3,Creature
Una Fricker,"mtgo, paper",U,U,,19542.0,0.17,1997,"Flying, Vigilance",normal,,,{1}{U},2.0,Bay Falcon,54,,1,MIR,common,MIR,Bird,,1,Creature
Liz Danforth,"mtgo, paper",U,U,,22012.0,0.11,1997,,normal,,,{3}{U}{U},5.0,Bazaar of Wonders,55,,,MIR,rare,MIR,,World,,Enchantment
Gerry Grace,"mtgo, paper",U,U,,23792.0,0.05,1997,"Flying, Protection",normal,,,{4}{U},5.0,Cerulean Wyvern,57,,3,MIR,uncommon,MIR,Drake,,3,Creature
John Coulthart,"mtgo, paper",U,U,,15533.0,,1997,Enchant,normal,,,{U},1.0,Cloak of Invisibility,58,,,MIR,common,MIR,Aura,,,Enchantment
Drew Tucker,"mtgo, paper",U,U,,21737.0,0.13,1997,,normal,,,{2}{U},3.0,Dream Fighter,63,,1,MIR,common,MIR,"Human, Soldier",,1,Creature
Tom WÃ¤nerstrand,"mtgo, paper",U,U,,22424.0,0.29,1997,,normal,,,{3}{U}{U},5.0,Energy Vortex,64,,,MIR,rare,MIR,,,,Enchantment
Charles Gillespie,"mtgo, paper",U,U,,20716.0,,1997,,normal,,,{3}{U},4.0,Ether Well,65,,,MIR,uncommon,MIR,,,,Instant
Alan Rabinowitz,"mtgo, paper",U,U,,19316.0,0.08,1997,Flying,normal,,,{3}{U}{U},5.0,"Hakim, Loreweaver",68,,2,MIR,rare,MIR,"Human, Wizard",Legendary,4,Creature
John Matson,"mtgo, paper",U,U,,12925.0,0.12,1997,,normal,,,{2}{U},3.0,Jolt,70,,,MIR,common,MIR,,,,Instant
Jock,"mtgo, paper",U,U,,13367.0,0.15,1997,,normal,,,{3}{U},4.0,Kukemssa Pirates,71,,2,MIR,rare,MIR,"Human, Pirate",,2,Creature
Ian Miller,"mtgo, paper",U,U,,22906.0,,1997,,normal,,,{3}{U},4.0,Kukemssa Serpent,72,,4,MIR,common,MIR,Serpent,,3,Creature
Brian SnÃµddy,"mtgo, paper",U,U,,17065.0,0.27,1997,,normal,,,{1}{U},2.0,Meddle,73,,,"MIR, ONS",uncommon,MIR,,,,Instant
Steve Luke,"mtgo, paper",U,U,,22098.0,,1997,"Islandwalk, Landwalk, Phasing",normal,,,{1}{U},2.0,Merfolk Raiders,75,,,,,,,,,
Steve Luke,"mtgo, paper",U,U,,25141.0,,1997,,normal,,,{2}{U},3.0,Merfolk Seer,76,,2,MIR,common,MIR,"Merfolk, Wizard",,2,Creature
John Malloy,"mtgo, paper",U,U,,14869.0,0.39,1997,"Cumulative upkeep, Enchant",normal,,,{U},1.0,Mind Harness,78,,,MIR,uncommon,MIR,Aura,,,Enchantment
Scott Kirschner,"mtgo, paper",U,U,,11994.0,0.32,1997,,normal,,,{2}{U},3.0,Political Trickery,81,,,"MIR, WC97",rare,MIR,,,,Sorcery
David O'Connor,"mtgo, paper",U,U,,16975.0,0.27,1997,,normal,,,{U},1.0,Prismatic Lace,84,,,MIR,rare,MIR,,,,Instant
Alan Rabinowitz,"mtgo, paper",U,U,,11072.0,0.07,1997,,normal,,,{1}{U},2.0,Reality Ripple,87,,,MIR,common,MIR,,,,Instant
Una Fricker,"mtgo, paper",U,U,,22100.0,0.06,1997,Phasing,normal,,,{4}{U},5.0,Sandbar Crocodile,88,,6,"MIR, PMEI",common,MIR,Crocodile,,5,Creature
Martin McKenna,"mtgo, paper",U,U,,10633.0,0.22,1997,,normal,,,{1}{U},2.0,Sea Scryer,90,,1,MIR,common,MIR,"Merfolk, Wizard",,1,Creature
D. Alexander Gregory,"mtgo, paper","B, U, W",U,,25254.0,,1997,,normal,,,{U},1.0,Shaper Guildmage,91,,1,MIR,common,MIR,"Human, Wizard",,1,Creature
David A. Cherry,"mtgo, paper",U,U,,17673.0,0.91,1997,,normal,,,{2}{U}{U},4.0,Shimmer,92,,,MIR,rare,MIR,,,,Enchantment
Tony Roberts,"mtgo, paper",U,U,,25185.0,,1997,Enchant,normal,,,{1}{U},2.0,Soar,93,,,,,,,,,
David O'Connor,"mtgo, paper",U,U,,13129.0,0.05,1997,,normal,,,{1}{U}{U},3.0,Suq'Ata Firewalker,94,,0,MIR,uncommon,MIR,"Human, Wizard",,1,Creature
Ian Miller,"mtgo, paper",U,U,,10662.0,0.28,1997,"Phasing, Trample",normal,,,{3}{U}{U},5.0,Taniwha,95,,7,MIR,rare,MIR,Serpent,Legendary,7,Creature
Robert Bliss,"mtgo, paper",U,U,,19920.0,,1997,Enchant,normal,,,{1}{U},2.0,Teferi's Curse,96,,,MIR,common,MIR,Aura,,,Enchantment
Kari Johnson,"mtgo, paper",U,U,,23094.0,0.12,1997,"Flying, Phasing",normal,,,{2}{U},3.0,Teferi's Drake,97,,3,MIR,common,MIR,Drake,,2,Creature
Una Fricker,"mtgo, paper",U,U,,22107.0,,1997,"Flying, Phasing",normal,,,{2}{U},3.0,Teferi's Imp,98,,1,MIR,rare,MIR,Imp,,1,Creature
Roger Raupp,"mtgo, paper",U,U,,25259.0,0.23,1997,Enchant,normal,,,{2}{U},3.0,Thirst,99,,,MIR,common,MIR,Aura,,,Enchantment
Adam Rex,"mtgo, paper",U,U,,25192.0,,1997,Flying,normal,,,{2}{U}{U},4.0,Vaporous Djinn,101,,3,MIR,uncommon,MIR,Djinn,,4,Creature
Zak Plucinski,"mtgo, paper",U,U,,25583.0,,1997,,normal,,,{2}{U}{U},4.0,Wave Elemental,102,,2,MIR,uncommon,MIR,Elemental,,3,Creature
Gary Leach,"mtgo, paper",B,B,,25317.0,,1997,,normal,,,{4}{B},5.0,Barbed-Back Wurm,105,,4,MIR,uncommon,MIR,Wurm,,3,Creature
Robert Bliss,"mtgo, paper",B,B,,18636.0,0.22,1997,Enchant,normal,,,{1}{B},2.0,Binding Agony,106,,,MIR,common,MIR,Aura,,,Enchantment
Cliff Nielsen,"mtgo, paper",B,B,,23249.0,0.09,1997,,normal,,,{2}{B},3.0,Breathstealer,109,,2,MIR,common,MIR,Nightstalker,,2,Creature
Geofrey Darrow,"mtgo, paper",B,B,,12564.0,0.46,1997,,normal,,,{1}{B}{B},3.0,Carrion,111,,,MIR,rare,MIR,,,,Instant
David O'Connor,"mtgo, paper",B,B,,20460.0,0.18,1997,Flying,normal,,,{4}{B}{B},6.0,Catacomb Dragon,112,,4,MIR,rare,MIR,Dragon,,4,Creature
Roger Raupp,"mtgo, paper",B,B,,18074.0,0.3,1997,,normal,,,{1}{B}{B},3.0,Choking Sands,113,,,"MIR, VMA, WC97",common,MIR,,,,Sorcery
Ron Spencer,"mtgo, paper",B,B,,21551.0,0.19,1997,,normal,,,{3}{B},4.0,Crypt Cobra,114,,3,MIR,uncommon,MIR,Snake,,3,Creature
Steve Luke,"mtgo, paper",B,B,,18423.0,,1997,Swampwalk,normal,,,{3}{B},4.0,Dirtwater Wraith,117,,1,"MIR, PLIST",common,MIR,Wraith,,3,Creature
Kathryn Rathke,"mtgo, paper",B,B,,23636.0,0.21,1997,,normal,,,{3}{B},4.0,Dread Specter,119,,2,MIR,uncommon,MIR,Specter,,2,Creature
Gerry Grace,"mtgo, paper",B,B,,12992.0,,1997,,normal,,,{B},1.0,Ebony Charm,120,,,,,,,,,
Gary Leach,"mtgo, paper",B,B,,22978.0,,1997,,normal,,,{3}{B},4.0,Fetid Horror,123,,1,MIR,common,MIR,"Shade, Horror",,2,Creature
Kev Walker,"mtgo, paper",B,B,,14720.0,0.43,1997,,normal,,,{2}{B},3.0,Forsaken Wastes,125,,,"MIR, WC97",rare,MIR,,World,,Enchantment
Adrian Smith,"mtgo, paper",B,B,,24286.0,,1997,Enchant,normal,,,{1}{B},2.0,Grave Servitude,126,,,,,,,,,
Tom Kyffin,"mtgo, paper",B,B,,12589.0,0.4,1997,,normal,,,{2}{B}{B},4.0,Harbinger of Night,128,,2,MIR,rare,MIR,Spirit,,3,Creature
Ian Miller,"mtgo, paper",B,B,,24751.0,0.06,1997,,normal,,,{3}{B},4.0,Kaervek's Hex,130,,,MIR,uncommon,MIR,,,,Sorcery
Randy Gallegos,"mtgo, paper",B,B,,25242.0,,1997,,normal,,,{1}{B},2.0,Mire Shade,131,,1,MIR,uncommon,MIR,Shade,,1,Creature
John Matson,"mtgo, paper",B,B,,16814.0,0.25,1997,,normal,,,{2}{B},3.0,Phyrexian Tribute,134,,,MIR,rare,MIR,,,,Sorcery
John Matson,"mtgo, paper",B,B,,22201.0,,1997,,normal,,,{3}{B}{B},5.0,Purraj of Urborg,135,,2,MIR,rare,MIR,"Cat, Warrior",Legendary,3,Creature
John Bolton,"mtgo, paper",B,B,,24894.0,,1997,Flying,normal,,,{3}{B}{B},5.0,Ravenous Vampire,136,,3,MIR,uncommon,MIR,Vampire,,3,Creature
Ian Miller,"mtgo, paper",B,B,,16252.0,,1997,,normal,,,{1}{B},2.0,Restless Dead,138,,1,MIR,common,MIR,Skeleton,,1,Creature
Mike Kimble,"mtgo, paper","B, R, U",B,,23807.0,0.04,1997,,normal,,,{B},1.0,Shadow Guildmage,140,,1,"MIR, TSB, WC97",common,MIR,"Human, Wizard",,1,Creature
John Coulthart,"mtgo, paper",B,B,,7162.0,0.37,1997,,normal,,,{1}{B},2.0,Shallow Grave,141,,,MIR,rare,MIR,,,,Instant
Pete Venters,"mtgo, paper",B,B,,14186.0,0.08,1997,Flying,normal,,,{5}{B}{B},7.0,"Shauku, Endbringer",142,,5,MIR,rare,MIR,Vampire,Legendary,5,Creature
Jeff Miracola,"mtgo, paper",B,B,,22607.0,,1997,,normal,,,{1}{B},2.0,Soul Rend,144,,,MIR,uncommon,MIR,,,,Instant
John Bolton,"mtgo, paper",B,B,,19699.0,0.17,1997,,normal,,,{B},1.0,Soulshriek,145,,,MIR,common,MIR,,,,Instant
Cliff Nielsen,"mtgo, paper",B,B,,14893.0,0.07,1997,"Flying, Haste, Protection, Trample",normal,,,{6}{B}{B}{B},9.0,Spirit of the Night,146,,6,"MIR, WC98",rare,MIR,"Demon, Spirit",Legendary,5,Creature
Chippy,"mtgo, paper",B,B,,23184.0,0.14,1997,Flying,normal,,,{3}{B},4.0,Tainted Specter,148,,2,MIR,rare,MIR,Specter,,2,Creature
Dom!,"mtgo, paper",B,B,,7977.0,0.08,1997,Cumulative upkeep,normal,,,{2}{B}{B},4.0,Tombstone Stairwell,149,,,MIR,rare,MIR,,World,,Enchantment
Cliff Nielsen,"mtgo, paper",B,B,,22611.0,,1997,,normal,,,{2}{B},3.0,Urborg Panther,150,,2,"MIR, PLIST",common,MIR,"Nightstalker, Cat",,2,Creature
Gary Leach,"mtgo, paper",B,B,,20710.0,0.06,1997,Defender,normal,,,{1}{B},2.0,Wall of Corpses,151,,0,MIR,common,MIR,Wall,,2,Creature
Robert Bliss,"mtgo, paper",B,B,,5079.0,0.4,1997,,normal,,,{1}{B},2.0,Withering Boon,152,,,MIR,uncommon,MIR,,,,Instant
Terese Nielsen,"mtgo, paper",B,B,,24774.0,,1997,,normal,,,{2}{B}{B},4.0,Zombie Mob,153,,2,MIR,uncommon,MIR,Zombie,,0,Creature
Drew Tucker,"mtgo, paper",R,R,,19797.0,,1997,Enchant,normal,,,{1}{R},2.0,Agility,154,,,MIR,common,MIR,Aura,,,Enchantment
Kev Walker,"mtgo, paper",R,R,,13222.0,,1997,,normal,,,{1}{R},2.0,Aleatory,155,,,,,,,,,
Martin McKenna,"mtgo, paper","B, G, R",R,,24915.0,,1997,,normal,,,{R},1.0,Armorer Guildmage,156,,1,MIR,common,MIR,"Human, Wizard",,1,Creature
Ian Miller,"mtgo, paper",R,R,,22870.0,,1997,,normal,,,{2}{R}{R},4.0,Barreling Attack,157,,,MIR,rare,MIR,,,,Instant
John Coulthart,"mtgo, paper",R,R,,21457.0,0.13,1997,,normal,,,{2}{R}{R},4.0,Blind Fury,158,,,MIR,uncommon,MIR,,,,Instant
David Ho,"mtgo, paper",R,R,,19884.0,0.23,1997,Defender,normal,,,{2}{R},3.0,Blistering Barrier,159,,5,MIR,common,MIR,Wall,,2,Creature
Charles Gillespie,"mtgo, paper",R,R,,18453.0,0.33,1997,,normal,,,{X}{X}{R},1.0,Builder's Bane,160,,,MIR,common,MIR,,,,Sorcery
Dermot Power,"mtgo, paper",R,R,,25077.0,0.33,1997,,normal,,,{2}{R}{R},4.0,Burning Palm Efreet,161,,2,MIR,uncommon,MIR,Efreet,,2,Creature
Dan Frazier,"mtgo, paper",R,R,,23033.0,0.22,1997,Flanking,normal,,,{2}{R},3.0,Burning Shield Askari,162,,2,MIR,common,MIR,"Human, Knight",,2,Creature
Steve Luke,"mtgo, paper",R,R,,18151.0,,1997,,normal,,,{R},1.0,Chaos Charm,163,,,,,,,,,
Steve Luke,"mtgo, paper",R,R,,13401.0,0.37,1997,,normal,,,{2}{R},3.0,Chaosphere,164,,,MIR,rare,MIR,,World,,Enchantment
Jock,"mtgo, paper",R,R,,22441.0,,1997,,normal,,,{3}{R}{R},5.0,Cinder Cloud,165,,,MIR,uncommon,MIR,,,,Instant
Scott Kirschner,"mtgo, paper",R,R,,20866.0,0.32,1997,Enchant,normal,,,{1}{R},2.0,Consuming Ferocity,166,,,MIR,uncommon,MIR,Aura,,,Enchantment
Ian Miller,"mtgo, paper",R,R,,25361.0,,1997,Flying,normal,,,{4}{R},5.0,Crimson Roc,168,,2,MIR,uncommon,MIR,Bird,,2,Creature
Jock,"mtgo, paper",R,R,,7346.0,0.04,1997,,normal,,,{1}{R},2.0,Dwarven Miner,169,,1,"MIR, PLIST, WC98",uncommon,MIR,Dwarf,,2,Creature
Mike Kimble,"mtgo, paper",R,R,,11535.0,0.07,1997,,normal,,,{2}{R},3.0,Dwarven Nomad,170,,1,MIR,common,MIR,"Dwarf, Nomad",,1,Creature
Robert Bliss,"mtgo, paper",R,R,,24847.0,0.14,1997,,normal,,,{3}{R},4.0,Ekundu Cyclops,171,,3,MIR,common,MIR,Cyclops,,4,Creature
Mike Dringenberg,"mtgo, paper",R,R,,22216.0,,1997,Flying,normal,,,{2}{R}{R},4.0,Emberwilde Djinn,172,,5,MIR,rare,MIR,Djinn,,4,Creature
Richard Kane Ferguson,"mtgo, paper",R,R,,25166.0,0.12,1997,,normal,,,{2}{R}{R},4.0,Flame Elemental,175,,3,MIR,uncommon,MIR,Elemental,,2,Creature
Geofrey Darrow,"mtgo, paper",R,R,,18297.0,,1997,,normal,,,{3}{R}{R},5.0,Goblin Scouts,178,,,MIR,uncommon,MIR,,,,Sorcery
Robert Bliss,"mtgo, paper",R,R,,13843.0,0.22,1997,,normal,,,{R},1.0,Goblin Soothsayer,179,,1,MIR,uncommon,MIR,"Goblin, Shaman",,1,Creature
Andrew Robinson,"mtgo, paper",R,R,,23398.0,0.23,1997,,normal,,,{3}{R}{R},5.0,Hivis of the Scale,182,,3,MIR,rare,MIR,"Viashino, Shaman",Legendary,4,Creature
Tony Roberts,"mtgo, paper",R,R,,25388.0,,1997,,normal,,,{1}{R},2.0,Pyric Salamander,187,,1,MIR,common,MIR,Salamander,,1,Creature
Scott M. Fischer,"mtgo, paper",R,R,,24445.0,,1997,,normal,,,{3}{R},4.0,Raging Spirit,188,,3,MIR,common,MIR,Spirit,,3,Creature
Kathryn Rathke,"mtgo, paper",R,R,,21975.0,0.23,1997,,normal,,,{2}{R}{R},4.0,Reign of Chaos,190,,,MIR,uncommon,MIR,,,,Sorcery
Richard Kane Ferguson,"mtgo, paper",R,R,,23477.0,0.06,1997,Flanking,normal,,,{2}{R},3.0,Searing Spear Askari,191,,2,MIR,common,MIR,"Human, Knight",,2,Creature
Alan Rabinowitz,"mtgo, paper",R,R,,23055.0,0.18,1997,,normal,,,{1}{R},2.0,Sirocco,192,,,MIR,uncommon,MIR,,,,Instant
John Bolton,"mtgo, paper",R,R,,20253.0,,1997,Protection,normal,,,{3}{R}{R},5.0,Subterranean Spirit,195,,3,MIR,rare,MIR,"Elemental, Spirit",,3,Creature
Kev Walker,"mtgo, paper",R,R,,23242.0,0.28,1997,Flanking,normal,,,{4}{R},5.0,Telim'Tor,197,,2,MIR,rare,MIR,"Human, Knight",Legendary,2,Creature
